Date, Open, High, Low, Close, Volume
10/12/22, 44.50, 45.00, 43.95, 44.25, 412900
10/11/22, 44.50, 44.50, 44.10, 44.50, 293100
10/07/22, 46.00, 46.00, 44.00, 44.50, 2666100
10/06/22, 46.00, 46.00, 44.20, 44.65, 326200
10/05/22, 46.30, 46.30, 46.00, 46.15, 193800
10/04/22, 48.50, 48.50, 46.20, 46.20, 421500
10/03/22, 46.40, 47.10, 46.10, 46.20, 470900
09/30/22, 47.00, 47.00, 46.20, 46.45, 69700
09/29/22, 47.00, 48.00, 46.40, 46.80, 61400
09/28/22, 46.90, 47.00, 46.35, 46.50, 244200
09/27/22, 46.50, 46.95, 46.05, 46.35, 660600
09/26/22, 47.00, 47.00, 46.00, 46.70, 486100
09/23/22, 47.10, 48.50, 46.95, 47.10, 3233300
09/22/22, 47.10, 48.40, 47.10, 47.55, 735800
09/21/22, 47.25, 48.00, 47.00, 47.10, 123700
09/20/22, 46.50, 48.00, 46.15, 47.00, 280200
09/19/22, 48.90, 50.00, 46.00, 46.85, 21800
09/16/22, 47.50, 47.80, 46.00, 47.20, 575800
09/15/22, 50.00, 50.00, 47.05, 47.50, 980100
09/14/22, 48.00, 50.00, 47.00, 47.55, 651700
09/12/22, 50.00, 50.00, 47.50, 47.85, 3555100
09/09/22, 49.00, 50.00, 48.30, 48.60, 1013700
09/08/22, 49.00, 49.00, 48.60, 48.85, 462500
09/07/22, 51.00, 52.00, 48.60, 49.35, 116800
09/06/22, 52.75, 52.75, 49.50, 50.00, 178300
09/05/22, 50.00, 52.50, 47.95, 48.10, 1466600
09/02/22, 48.00, 50.00, 48.00, 48.15, 368100
09/01/22, 49.00, 49.00, 47.90, 48.00, 4769400
08/31/22, 48.50, 48.50, 47.90, 48.00, 936600
08/30/22, 49.00, 49.00, 47.80, 48.00, 59900
08/29/22, 50.00, 50.00, 47.90, 48.10, 622100
08/26/22, 48.50, 50.00, 48.50, 49.20, 12200
08/25/22, 51.00, 51.00, 48.00, 48.30, 26000
08/24/22, 48.90, 50.00, 47.85, 48.00, 2097300
08/23/22, 49.00, 50.00, 48.00, 48.35, 157700
08/22/22, 48.50, 50.00, 48.00, 49.00, 180500
08/19/22, 50.00, 50.00, 47.50, 48.00, 296300
08/18/22, 51.00, 51.00, 48.75, 49.45, 129900
08/17/22, 52.00, 52.75, 50.50, 51.25, 47000
08/16/22, 51.00, 53.00, 50.50, 52.25, 1181500
08/15/22, 50.00, 52.00, 49.50, 51.25, 72000
08/12/22, 51.75, 51.75, 50.00, 50.50, 28400
08/11/22, 52.00, 53.00, 50.00, 51.75, 1317800
08/10/22, 52.50, 53.50, 52.00, 53.25, 2252400
08/08/22, 49.00, 52.50, 49.00, 51.50, 99300
08/05/22, 48.40, 49.50, 48.00, 48.25, 360100
08/04/22, 47.50, 48.50, 47.50, 48.00, 2186800
08/03/22, 47.75, 48.00, 47.40, 47.50, 3131600
08/02/22, 47.70, 48.00, 47.50, 47.70, 835100
